		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111101100    1    0    2    3    0    3    2    0  8.773353 0.361775 SUCCESS 138
111101110    4    0    0    0    1    1    4    4 12.351354 0.136202 SUCCESS 139
111110000    2    3    2    2    4    3    1    2  2.497784 0.961834 SUCCESS 140
111110010    1    2    3    1    3    3    4    3  3.408006 0.906211 SUCCESS 141
111110100    2    0    1    2    0    0    3    0 11.126691 0.194624 SUCCESS 142
111110110    2    1    4    3    2    2    1    0  5.635568 0.687978 SUCCESS 143
111111000    0    2    4    2    4    1    3    4  6.797343 0.558648 SUCCESS 144
111111010    2    2    1    2    1    1    2    0  5.384016 0.715853 SUCCESS 145
111111100    1    4    4    2    6    3    1    6 14.863567 0.061853 SUCCESS 146
111111110    1    4    2    2    5    4    0    2  8.492011 0.386941 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    1    0    1    0    0    2    0    0 14.264475 0.075127 SUCCESS   0
000000011    3    1    3    4    1    6    1    8 22.489574 0.004085 FAILURE   1
000000101    3    4    3    2    2    1    6    2  7.833341 0.449917 SUCCESS   2
000000111    2    4    3    3    4    0    3    6 10.501120 0.231599 SUCCESS   3
000001001    0    3    3    1    4    1    2    1  6.482903 0.593305 SUCCESS   4
000001011    2    3    4    5    1    2    2    2  5.165563 0.739743 SUCCESS   5
000001101    5    4    1    4    4    6    1    4 14.142009 0.078138 SUCCESS   6
000001111    2    3    3    3    2    1    2    4  2.560672 0.958842 SUCCESS   7
000010001    0    6    2    2    3    0    2    2 10.845349 0.210617 SUCCESS   8
000010011    2    5    4    2    4    1    2    1  6.860231 0.551785 SUCCESS   9
000010101    3    0    4    3    3    1    3    2  5.039787 0.753315 SUCCESS  10
000010111    2    2    3    6    1    3    2    2  6.860231 0.551785 SUCCESS  11
000011001    2    0    6    3    1    2    2    1  9.998015 0.265165 SUCCESS  12
000011011    4    0    1    3    5    3    2    0 10.060903 0.260777 SUCCESS  13
000011101    1    5    2    3    3    5    2    2  6.986007 0.538143 SUCCESS  14
000011111    1    3    4    2    3    2    3    3  2.623560 0.955720 SUCCESS  15
000100011    1    7    1    1    5    1    1    2 16.055131 0.041598 SUCCESS  16
000100101    3    4    1    1    0    2    2    1  6.420015 0.600293 SUCCESS  17
000100111    0    4    4    2    4    3    0    2  8.429123 0.392713 SUCCESS  18
000101001    3    5    1    1    4    3    2    1  6.797343 0.558648 SUCCESS  19
000101011    1    0    4    3    4    2    3    1  6.671567 0.572447 SUCCESS  20
000101101    4    4    2    3    1    2    3    3  3.533783 0.896552 SUCCESS  21
000101111    4    2    3    4    3    1    3    4  4.506893 0.808743 SUCCESS  22
000110011    3    2    4    4    2    3    3    1  3.533783 0.896552 SUCCESS  23
000110101    3    4    0    2    0    4    2    4  8.429123 0.392713 SUCCESS  24
000110111    4    1    1    3    1    0    2    0  8.836241 0.356298 SUCCESS  25
000111001    3    1    0    2    3    1    6    2 10.060903 0.260777 SUCCESS  26
000111011    0    3    6    1    5    6    1    2 18.064239 0.020750 SUCCESS  27
000111101    2    3    1    0    2    2    2    0  6.294238 0.614310 SUCCESS  28
000111111    1    4    5    0    4    2    1    6 14.612015 0.067143 SUCCESS  29
001000011    1    2    3    2    1    1    1    2  3.815124 0.873406 SUCCESS  30
001000101    1    1    3    2    1    1    3    1  4.662458 0.792968 SUCCESS  31
001000111    1    4    3    1    5    3    1    4  7.770453 0.456208 SUCCESS  32
001001011    1    3    4    2    3    3    1    3  3.408006 0.906211 SUCCESS  33
001001101    2    0    0    1    2    0    0    0 13.480029 0.096366 SUCCESS  34
001001111    1    2    1    0    4    3    1    1  7.204461 0.514742 SUCCESS  35
001010011    3    2    1    2    4    1    3    1  4.066676 0.851058 SUCCESS  36
001010101    2    1    3    1    3    1    2    5  5.824233 0.666913 SUCCESS  37
001010111    3    1    2    2    2    4    1    3  3.282230 0.915418 SUCCESS  38
001011011    3    2    5    2    1    0    3    2  6.671567 0.572447 SUCCESS  39
001011101    2    5    0    7    0    4    2    3 18.001351 0.021216 SUCCESS  40
001011111    2    1    3    2    5    1    1    4  6.734455 0.565535 SUCCESS  41
001100101    3    0    2    1    3    0    1    3  7.204461 0.514742 SUCCESS  42
001100111    4    2    3    3    2    3    5    4  5.480003 0.705254 SUCCESS  43
001101011    1    2    1    0    1    1    2    1  6.952908 0.541722 SUCCESS  44
001101101    2    0    1    0    6    4    1    0 15.740690 0.046246 SUCCESS  45
001101111    3    2    1    2    0    1    2    2  4.662458 0.792968 SUCCESS  46
001110101    1    1    3    6    2    1    4    1 10.123792 0.256445 SUCCESS  47
001110111    2    1    3    2    2    5    1    1  5.761345 0.673945 SUCCESS  48
001111011    2    1    3    1    2    7    4    0 14.423350 0.071377 SUCCESS  49
001111101    2    3    1    5    1    1    0    2  8.177571 0.416320 SUCCESS  50
001111111    4    5    1    0    5    2    1    4 12.007124 0.150886 SUCCESS  51
010000011    2    5    0    4    1    4    6    3 13.890457 0.084666 SUCCESS  52
010000111    1    3    1    1    1    1    0    1  7.800242 0.453223 SUCCESS  53
010001011    3    3    2    2    2    2    3    2  0.803116 0.999213 SUCCESS  54
010001111    1    2    2    0    1    1    1    3  6.231350 0.621335 SUCCESS  55
010010011    1    2    0    0    1    2    2    0  9.432023 0.307171 SUCCESS  56
010010111    1    3    4    2    2    4    1    2  4.192453 0.839356 SUCCESS  57
010011011    3    0    1    4    4    0    2    3  8.303347 0.404413 SUCCESS  58
010011111    1    4    2    2    2    2    0    2  4.788234 0.779952 SUCCESS  59
010100011    0    1    6    0    3    2    4    1 13.387352 0.099199 SUCCESS  60
010100111    2    1    4    4    3    2    1    2  4.192453 0.839356 SUCCESS  61
010101011    3    1    1    3    2    2    4    3  3.345118 0.910872 SUCCESS  62
010101111    2    1    4    2    1    4    5    4  7.833341 0.449917 SUCCESS  63
010110011    4    1    2    0    2    2    2    5  7.518901 0.481816 SUCCESS  64
