		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110111000    0    2    0    2    2    3    3    3  5.635568 0.687978 SUCCESS 115
110111010    4    0    2    6    5    5    3    4 15.836677 0.044778 SUCCESS 116
110111100    3    4    7    5    4    3    6    5 22.271121 0.004438 FAILURE 117
111000000    0    0    2    1    0    0    0    2 13.480029 0.096366 SUCCESS 118
111000010    2    0    0    0    0    1    0    0 15.896255 0.043889 SUCCESS 119
111000100    1    0    1    1    1    2    1    0  9.369135 0.312119 SUCCESS 120
111000110    1    1    4    0    2    0    0    1 11.189579 0.191187 SUCCESS 121
111001000    2    0    1    2    0    3    0    0 11.126691 0.194624 SUCCESS 122
111001010    2    5    4    2    4    2    2    3  5.354227 0.719131 SUCCESS 123
111001100    2    1    2    2    3    0    2    1  4.662458 0.792968 SUCCESS 124
111010000    1    0    1    2    0    3    3    0  9.557799 0.297443 SUCCESS 125
111010010    2    1    2    2    0    2    0    2  6.231350 0.621335 SUCCESS 126
111010100    1    0    4    2    5    1    0    2 10.719573 0.218100 SUCCESS 127
111010110    5    1    1    5    4    1    3    6 14.800679 0.063139 SUCCESS 128
111011000    1    0    2    2    1    3    0    2  7.078684 0.528168 SUCCESS 129
111011010    6    6    8    6    5    3    5    3 35.295573 0.000024 FAILURE 130
111011100    4    7    2    7    8    8    5    5 50.799140 0.000000 FAILURE 131
111100000    0    0    2    2    0    0    0    0 15.111809 0.057008 SUCCESS 132
111100010    1    2    2    1    1    2    2    0  5.384016 0.715853 SUCCESS 133
111100100    1    2    0    2    1    5    1    1  8.899129 0.350877 SUCCESS 134
111100110    2    5    3    5    7    3    5    5 20.450676 0.008759 FAILURE 135
111101000    3    1    0    2    1    5    2    0  9.809351 0.278663 SUCCESS 136
111101010    5    4    3    8    4    4    6    3 24.813123 0.001672 FAILURE 137
111101100    5    0    4    6    2    1    3    4 13.890457 0.084666 SUCCESS 138
111101110   10    8    4   13   13   12   11    8 216.409936 0.000000 FAILURE 139
111110000    1    1    2    4    1    0    0    0 11.189579 0.191187 SUCCESS 140
111110010    6    7    2    2    4    7    3    4 25.534681 0.001261 FAILURE 141
111110100    6    5    4    2    1    7    4    4 21.172234 0.006704 FAILURE 142
111110110    7    5   12   10    9    5    6   12 140.179653 0.000000 FAILURE 143
111111000    3    4    4    4    2    1    2    1  5.165563 0.739743 SUCCESS 144
111111010   12   11    8   11    7    5   11    8 170.276564 0.000000 FAILURE 145
111111100   10   11   10    6    9    4    7    9 131.706311 0.000000 FAILURE 146
111111110   17   24   24   15   18   18   17   16 924.946773 0.000000 FAILURE 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   0
000000011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   1
000000101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   2
000000111    0    0    1    1    0    1    0    0 15.048921 0.058201 SUCCESS   3
000001001    0    0    0    0    0    0    1    0 18.312482 0.019002 SUCCESS   4
000001011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   5
000001101    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   6
000001111    0    0    2    1    0    2    1    0 11.848249 0.158104 SUCCESS   7
000010001    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   8
000010011    0    0    0    0    0    0    2    0 17.528036 0.025057 SUCCESS   9
000010101    0    1    0    0    1    0    0    0 16.680701 0.033611 SUCCESS  10
000010111    0    0    0    0    0    0    0    1 18.312482 0.019002 SUCCESS  11
000011001    0    0    0    0    0    0    1    0 18.312482 0.019002 SUCCESS  12
000011011    0    0    1    0    0    1    0    1 15.048921 0.058201 SUCCESS  13
000011101    1    1    0    0    0    0    0    1 15.048921 0.058201 SUCCESS  14
000011111    0    1    1    1    2    3    1    1  7.015796 0.534929 SUCCESS  15
000100011    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  16
000100101    1    0    0    0    1    1    0    0 15.048921 0.058201 SUCCESS  17
000100111    1    0    0    1    1    0    1    1 11.785361 0.161041 SUCCESS  18
000101001    0    0    0    0    0    0    1    0 18.312482 0.019002 SUCCESS  19
000101011    1    2    0    0    2    1    2    0  9.432023 0.307171 SUCCESS  20
000101101    0    0    0    0    1    1    2    0 14.264475 0.075127 SUCCESS  21
000101111    0    3    1    2    0    0    1    1 10.279357 0.245964 SUCCESS  22
000110011    0    0    0    0    0    0    2    0 17.528036 0.025057 SUCCESS  23
000110101    0    1    0    0    2    1    0    0 14.264475 0.075127 SUCCESS  24
000110111    3    1    5    3    0    2    0    1  9.872239 0.274108 SUCCESS  25
000111001    1    0    0    0    1    1    0    0 15.048921 0.058201 SUCCESS  26
000111011    2    1    0    0    1    1    0    1 11.000915 0.201647 SUCCESS  27
000111101    3    0    1    2    3    2    0    1  7.141573 0.521438 SUCCESS  28
000111111    3    5    3    5    7    5    1    3 18.567344 0.017353 SUCCESS  29
001000011    1    1    0    0    1    0    0    0 15.048921 0.058201 SUCCESS  30
001000101    0    0    0    0    1    0    0    0 18.312482 0.019002 SUCCESS  31
001000111    2    0    0    2    0    3    0    0 12.758471 0.120434 SUCCESS  32
